ID_Investidor,Nome,Tipo,Website,País_Sede,Cidades,Estágios,Ticket_Min_M,Ticket_Max_M,Moeda,Ticket_Notas,Setores,Modelos,Geografia_Startups,Lidera_Rondas,Tese,Critérios,Contacto_Geral,Envio_Pitch,Fonte_Tese,Fonte_Equipa,Data_Verificação,Confiança,Notas
INV011,Northzone,VC,https://northzone.com/,Reino Unido / Suécia,Londres; Estocolmo; Amesterdão; Nova Iorque,Early stage; Growth,,,,Faixa geral não publicada na fonte usada.,AI; software; fintech; consumer; health; climate,B2B; B2C,Europa e EUA,Sim / co-lidera,"Fundo multi-stage com equipas locais na Europa e EUA, orientado por teses e conhecimento setorial.",Mudanças estruturais; equipas fortes; capacidade de criar categoria,hello@northzone.com,Website,https://northzone.com/,https://northzone.com/team,2026-09-09,Alta,
INV012,Project A,VC,https://www.project-a.com/,Alemanha,Berlim; Londres,Pre-ideation; Pre-seed; Seed; Series A; follow-on,1,10,USD,Cheque inicial $1m–$10m; reserva até $30m por empresa.,Climate & Energy; Resilience & Defence; Financial Technology; Global Supply Chains,B2B; B2C,Europa,Sim,"VC early-stage com grande equipa operacional interna para apoiar tecnologia, dados, GTM, talento e produto.",Ambição; mercado; capacidade de execução; adequação aos temas,Via website,Website,https://www.project-a.com/,https://www.project-a.com/team/,2026-09-09,Alta,
INV013,Dawn Capital,VC,https://www.dawncapital.com/,Reino Unido,Londres,Series A; Series B; follow-on Series C+,10,40,USD,Dawn V: investimento inicial de $10m–$40m em Series A/B.,B2B software; AI; automation; data; security; fintech; vertical software,B2B SaaS,"Europa, com ambição global",Sim / co-lidera,Especialista europeu em B2B software; acompanha vencedores desde Series A/B até exit.,Software mission-critical; expansão global; forte equipa e mercado,hello@dawncapital.com,Email / website,https://www.dawncapital.com/content-hub/dawn-raises-700m-to-invest-in-the-next-generation-ofeuropean-b2b-software-winners,https://www.dawncapital.com/team,2026-09-09,Alta,
INV014,Octopus Ventures,VC,https://octopusventures.com/,Reino Unido,Londres,Pre-seed; Seed; Series A; Growth,,,,Varia por equipa e fundo.,B2B Software; Bio; Climate; Consumer; Deep Tech; Fintech; Health,B2B; B2C,Reino Unido e Europa,Caso a caso,Fundo com equipas setoriais e apoio dedicado de people & talent para investimentos early-stage.,Conhecimento setorial; potencial de impacto; equipa,Formulário no website,Website,https://octopusventures.com/,https://octopusventures.com/,2026-09-09,Alta,
INV015,Notion Capital,VC,https://www.notion.vc/,Reino Unido,Londres,Series A; Growth,,,,Faixa geral não publicada na fonte usada.,B2B SaaS; cloud; AI; fintech; vertical software; marketplaces,B2B,"Europa, com expansão global",Sim / co-lidera,"Especialista em software B2B e cloud, com forte plataforma operacional para crescimento e expansão internacional.",Receita recorrente; potencial de categoria; capacidade de escalar,info@notion.vc,Website,https://www.notion.vc/resources/notion-capital-on-track-to-becoming-the-go-to-investor-for-cloud-and-saas-entrepreneurs,https://www.notion.vc/our-team/,2026-09-09,Média,A tese atual está dispersa por conteúdos e investimentos recentes.
INV016,Nauta Capital,VC,https://www.nautacapital.com/,Espanha / Reino Unido,Barcelona; Londres,Seed+; Series A,1,5,EUR,Ticket médio publicado: €1m–€5m.,B2B software; RetailTech; RevenueTech; Fintech; Insurtech; Productivity; HealthTech; DevTools; AI; Security,B2B SaaS,Europa,Sim / co-lidera,"Investe cedo em B2B software com produto operacional, mesmo antes de receita.",Produto; diferenciação; equipa; potencial pan-europeu,Via website,Website,https://www.nautacapital.com/,https://www.nautacapital.com/team,2026-09-09,Alta,
INV017,K Fund,VC,https://www.kfund.vc/,Espanha,Madrid; presença em Portugal e Brasil,Pre-seed; Seed; Series A+,0.1,10,EUR,Família de fundos com €100k–€10m; Leadwind €5m–€10m.,Software; B2B; deeptech; fintech; logistics; foodtech; climate infrastructure,B2B; B2C,Espanha; Sul da Europa; América Latina,Sim / co-lidera,Família de fundos early-stage que acompanha desde pre-seed até Series A+ e valoriza fundadores contrarian.,Fundadores; tecnologia; produto; potencial internacional,Via website,Website,https://www.kfund.vc/post/kfund-tech-due-diligence,https://www.kfund.vc/team,2026-09-09,Alta,
INV018,Samaipata,VC,https://www.samaipata.vc/,Espanha,Madrid; Londres; Paris,Pre-seed; Seed,1,3,EUR,"Fund II: €1m–€3m, média €2m. Tese pode evoluir por fundo.",Tech com network effects; AI; marketplaces; plataformas digitais,B2B; B2C; marketplaces,"Europa: Sul da Europa, França, Benelux, DACH, UK & Ireland",Tipicamente sim,Fundo de founders para empresas tecnológicas europeias com efeitos de rede e defensibilidade.,Mercado capaz de >€100m de margem/receita; unit economics; cap table; equipa,Via website,Website,https://www.samaipata.vc/post/the-founders-q-a,https://www.samaipata.vc/samaipata-team,2026-09-09,Alta,Dados de ticket marcados como Fund II; confirmar para Fund III.
INV019,Portugal Ventures,VC público,https://www.portugalventures.pt/,Portugal,Porto; Lisboa,Pre-seed; Seed; Series A,,6,EUR,Website atual: até €6m; chamadas específicas podem ter limites inferiores.,Digital; Industry; Life Sciences; Tourism,B2B; B2C,Startups com sede em Portugal,Caso a caso,"Investe em startups tecnológicas portuguesas com crescimento, inovação e internacionalização.",Equipa; inovação; mercado; tração; internacionalização,contact@portugalventures.pt,Formulário / chamadas,https://www.portugalventures.pt/,https://www.portugalventures.pt/en/team/,2026-09-09,Alta,Separar regras por call ao qualificar uma oportunidade.
INV020,Indico Capital Partners,VC,https://www.indicocapital.com/,Portugal,Lisboa,Pre-seed; Seed; Venture; Growth,0.25,10,EUR,Faixa publicada: €250k–€10m; programas e fundos específicos variam.,AI; Deep Tech; SaaS; Fintech; IoT/Robotics; Space; Health; Consumer; Ocean,B2B; B2C; sustainable SMEs,"Portugal, Espanha, Itália e diásporas; expansão global",Sim / co-lidera,Apoia talento do sul da Europa a construir empresas tecnológicas e sustentáveis globais.,Equipa ambiciosa; execução; mercado global; escalabilidade,Via website,Website,https://www.indicocapital.com/about-us,https://www.indicocapital.com/about-us,2026-09-09,Alta,
INV021,Shilling,VC,https://www.shilling.vc/,Portugal,Lisboa,Pre-seed; Seed,0.1,1,EUR,Investimento típico publicado: €100k–€1m.,Tecnologia generalista; software; consumer; marketplaces,B2B; B2C,Portugal / Europa; ambição global,Caso a caso,Investe muito cedo e mobiliza uma comunidade de founders e operadores como LPs e advisors.,Ideia; equipa; drive global,team@shilling.vc,Formulário de pitch,https://www.shilling.vc/,https://www.shilling.vc/team,2026-09-09,Alta,
INV022,Armilar Venture Partners,VC,https://www.armilar.com/,Portugal,Lisboa,Pre-seed; Seed; Series A; Series B; follow-on,0.2,10,EUR,€200k–€2m seed/pre-seed; ~€2m–€10m Series A/B.,Tech at the core; B2B; AI; cybersecurity; devtools; infrastructure; automation; fintech; health; space; dual-use,B2B; deeptech,Seed sobretudo Iberia; Series A+ Europa e casos nos EUA,Sim / co-lidera,Investe em tecnologia diferenciada que resolve problemas globais e acompanha empresas até ao exit.,Tecnologia única; problema valioso; mercado global; equipa resiliente,Via website,Formulário de pitch,https://www.armilar.com/why-armilar,https://www.armilar.com/team,2026-09-09,Alta,
INV023,Hoxton Ventures,VC,https://hoxtonventures.com/,Reino Unido,Londres,Pre-seed; Seed,,,,Faixa geral não publicada na fonte usada.,Software; AI; deeptech; marketplaces; consumer,B2B; B2C,"Europa, com forte foco UK",Sim / co-lidera,"Equipa partner-only, composta sobretudo por antigos builders, para apoiar startups tecnológicas europeias desde cedo.",Fundadores ambiciosos; tecnologia com potencial global,Via formulário,Website,https://hoxtonventures.com/,https://hoxtonventures.com/team/,2026-09-09,Média,
INV024,Kindred Capital,VC,https://kindredcapital.vc/,Reino Unido,Londres,Pre-seed; Seed,,,,Faixa geral não publicada na fonte usada.,Health & Bio; Robotics; Applied AI; Financial Infrastructure; software,B2B; B2C,"UK-first; exceções na Europa, Israel, EUA e Ásia",Sim; equipa partner-only,Faz investimentos de alta convicção e partilha parte dos resultados do fundo com founders do portfólio.,Fundadores mission-driven; visão; alinhamento humano,hello@kindredcapital.vc,Introdução / email,https://kindredcapital.vc/,https://kindredcapital.vc/,2026-09-09,Alta,
INV025,Connect Ventures,VC,https://www.connectventures.co/,Reino Unido,Londres,Pre-seed; Seed,0.5,5,USD,Lidera ou co-lidera rondas de $500k–$5m.,AI; cybersecurity; deeptech; data & infrastructure; fintech; health; vertical networks,Product-led; B2B; B2C,Europa,Sim / co-lidera,"Especialista em produto, partner-only e de alta convicção; investe desde pre-product até product-market fit.",Founder-product fit; produto que utilizadores adoram; mercado grande,Via website,Website,https://www.connectventures.co/,https://www.connectventures.co/,2026-09-09,Alta,
INV026,Heartcore Capital,VC,https://www.heartcore.com/,Dinamarca,Copenhaga; Londres; Paris; remoto,Inception; Pre-seed; Seed; Series A,,,,Faixa geral não publicada na fonte usada.,AI; consumer; fintech; health; energy; defence; robotics; software,B2B; B2C; web3,Europa,Sim / co-lidera,Pure early-stage investor que procura founders europeus fora da curva e acompanha da criação à liquidez.,Genius and courage; ambição; relação de longo prazo,team@heartcore.com,Introdução / email,https://www.heartcore.com/about,https://www.heartcore.com/team,2026-09-09,Alta,
INV027,Partech,VC,https://partechpartners.com/,França,Paris; Berlim; São Francisco; Dakar; Dubai; Nairobi,Day 1; Seed; Series A; Series B; Growth,0.3,70,EUR,Seed €300k–€3m; Growth €25m–€70m; estratégias distintas.,Generalista tech; enterprise software; AI; deeptech; fintech; health; consumer; impact,B2B; B2C,Seed global; Venture e Growth com forte foco europeu,Sim / co-lidera,Plataforma multi-stage com equipas autónomas por fase; seed desde day one e venture para software mission-critical europeu.,Fundadores; inovação; adequação à estratégia/fase,Via website,Website,https://partechpartners.com/funds,https://partechpartners.com/team,2026-09-09,Alta,"Não misturar critérios de Seed, Venture, Growth, Africa e Impact."
INV028,Korys,Family office,https://korys.be/,Bélgica,Halle,Series A; Series B; Series C; Growth; Buyout,3,30,EUR,"VLAIO (07-02-2025): life sciences €3–10m; energia €7–12m inicial; consumer €10–30m, VC sem liderança €5–30m. Confirmar por estratégia.",Life sciences; energia; mobilidade; consumo sustentável,B2B; B2C; biotech; energia,Europa; preferência por Benelux e países vizinhos,Lidera ou participa em consórcios,"Capital da família Colruyt, com horizonte longo e três áreas: consumo responsável, transição energética e saúde.",Energia: produto validado; consumer: tração e rentabilidade; saúde: prova de conceito.,info@korys.be,Contacto público / equipa temática,https://www.vlaio.be/en/node/7362,https://korys.be/our-team/,2026-09-09,Alta,Family office confirmado. Tickets têm fonte datada; critérios variam por área. Lote 2.
INV029,H14,Family office,https://www.h14.it/,Itália,Milão,Venture; Growth,,,,Cheque inicial não divulgado nas fontes consultadas.,Tecnologia digital; software; marketplaces,B2B; B2C; plataformas,Europa e América do Norte; global,Pode liderar; exemplo WeRoad,Family office italiano com investimento direto em empresas digitais e apoio à expansão europeia.,Adequação a venture/growth e à rede de expansão; critérios quantitativos não publicados.,amministrazione@h14.it,Email administrativo geral; LinkedIn profissional,https://www.h14.it/,https://it.linkedin.com/in/riccardo-porcelli-658b6874,2026-09-09,Média,"Email administrativo, não caixa de pitch confirmada. Equipa pública incompleta; cargos exatos em revisão. Lote 2."
INV030,Fink Family Office,Family office,https://uk.linkedin.com/company/fink-family-office,Reino Unido,Londres,Seed; Series A; Series B,,,,Não existe faixa institucional atual confirmada nesta recolha.,Fintech; proptech; edtech; deeptech; life sciences,B2B; B2C; tecnologia,"Reino Unido; atividade europeia observada, mandato geográfico completo não publicado",Não confirmado,"Capital familiar em empresas tecnológicas; o perfil institucional destaca fintech, proptech e edtech.",Empresas em crescimento; novos negócios de ciência e IA surgem nas publicações da equipa.,LinkedIn institucional e perfis públicos,Contacto profissional via LinkedIn,https://uk.linkedin.com/company/fink-family-office,https://uk.linkedin.com/company/fink-family-office,2026-09-09,Média,Usa-se LinkedIn institucional: website não acessível nesta recolha. Allermuir/IA para investidores pode sobrepor-se ao caso SaaS do utilizador. Lote 2.
INV031,DIG Ventures,VC,https://www.dig.ventures/,Reino Unido,Londres,Pre-seed; Seed,,,,Faixa de cheques não confirmada nas fontes oficiais consultadas.,B2B SaaS; IA; infraestrutura cloud; open source,B2B; SaaS,Europa; também Israel e EUA,Lidera em casos publicados,"Equipa de founders e operadores que apoia produto, vendas iniciais e expansão Europa–EUA.",Pode entrar com deck e visão; avaliações técnicas e comerciais antes do comité.,hello@dig.ventures,Email público para founders,https://www.dig.ventures/,https://www.dig.ventures/team,2026-09-09,Alta,"Origem em family office; hoje VC com fundo institucional, conforme anúncio do fundador. Desia pode ter sobreposição com software de pesquisa de investidores. Lote 2."
INV032,Smedvig Ventures,VC,https://smedvig.vc/,Reino Unido,Londres,Late Seed; Series A; crescimento subsequente,4,8,EUR,€4–8m por cheque em rondas até €20m; ARR desde €750k.,B2B software; SaaS; IA aplicada; plataformas de dados,B2B; receita recorrente,"Europa; UK, Nordics e Benelux destacados pelo grupo",Frequentemente; confirmar por ronda,Apoio operacional à passagem da tração inicial para crescimento repetível.,ARR desde €750k; equipas abertas a aprender e trabalhar na execução.,Formulário oficial de contacto,https://smedvig.vc/contact/,https://smedvig.vc/,https://smedvig.vc/people/,2026-09-09,Alta,Braço de venture ligado à Smedvig Family Office; a holding familiar não é contada como outra entidade neste lote. Lote 2.
INV033,Episode 1,VC,https://www.episode1.com/,Reino Unido,Londres,Pre-seed; Seed; follow-on até Series A,0.25,2,GBP,FAQ atual: £250k–£2m; follower até £1m. Fonte prevalece sobre entrevista de 2024 (£3m).,IA; infraestrutura; devtools; biologia computacional; robótica; quantum,B2B; software,Reino Unido e Europa,Prefere liderar; também follower,Software defensável para problemas técnicos; sourcing apoiado pela plataforma interna Athena.,Grandes mercados; tecnologia defensável; seleção de founders; B2C e hardware são exceções.,Submit your Deck,https://www.episode1.com/faq,https://www.episode1.com/faq,https://www.episode1.com/team,2026-09-09,Alta,Athena é uma ferramenta interna de descoberta de startups: possível conhecimento do problema e sobreposição com o SaaS do caso de teste. Lote 2.
INV034,Concept Ventures,VC,https://concept.vc/,Reino Unido,Londres,Pre-seed; follow-on,,1.5,USD,"Até $1,5m, conforme página About; não confundir com os $88m do fundo.",Generalista; software; fintech; IA; enterprise,B2B; B2C,Base no Reino Unido; alcance completo não explicitado na página de critérios,Tipicamente lidera ou co-lidera,Especialização em pre-seed com avaliação dos founders e apoio continuado.,Avaliação de equipa; comité presencial; reserva para rondas futuras.,Website e perfis profissionais,https://concept.vc/about-us,https://concept.vc/about-us,https://concept.vc/team,2026-09-09,Alta,"Associates de operações e comunidade foram identificadas como apoio, sem inferir autoridade de investimento. Lote 2."
INV035,Empirical Ventures,VC,https://www.empiricalventures.vc/,Reino Unido,Londres,Pre-seed; Seed; venture studio,,,,"Cheque inicial não publicado; £50m refere-se ao fundo, não ao ticket.",Deeptech; life sciences; materiais; TechBio; fotónica; quantum; robótica; energia,IP científico; B2B; biotech,"Global, com base no Reino Unido e investimentos europeus",Lidera pre-seed e seed,Investe em descobertas científicas defensáveis e constrói empresas com investigadores.,Validação técnica por especialistas; problema real; IP e potencial comercial.,hello@empiricalventures.vc,Apply for funding no website,https://www.empiricalventures.vc/,https://www.empiricalventures.vc/team,2026-09-09,Alta,"Processo inclui ambos os GPs e comité de investimento. Alexander Fink consta uma única vez, na Fink Family Office, com outra ligação em notas. Lote 2."
