ID_Sinal,ID_Investidor,ID_Pessoa,Investidor,Pessoa,Categoria,Sinal_Público,Contexto_da_Fonte,Hook_Seguro,Adequação_Outreach,Sensibilidade,URL_Fonte,Data_Verificação,Estado,Notas
SIG0020,INV032,PER0233,Smedvig Ventures,Freddie Kalfayan,Recomendação profissional,"Invest Like the Best, 20VC e SaaStr",Recomendações públicas de conteúdo.,Usar uma ideia específica que tenhas lido ou ouvido; não alegar concordância pessoal dele com todo o conteúdo.,Bom se relevante,Baixa,https://smedvig.vc/people/freddie-kalfayan/,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0021,INV033,PER0234,Episode 1,Hector Mason,Interesse público,"Carpintaria, ténis e piano",Interesses listados na página da equipa.,Tema secundário quando se liga ao produto ou a experiência realmente partilhada.,Secundário,Baixa,https://www.episode1.com/team,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0022,INV034,PER0241,Concept Ventures,Reece Chowdhry,Causa pública,Concept Venture Pledge,O perfil descreve afetação de 1% do carry a causas escolhidas por founders.,Perguntar como os founders escolhem as causas ou como participam no programa.,Bom se relevante,Baixa,https://concept.vc/team-members/reece-chowdhry,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0023,INV034,PER0241,Concept Ventures,Reece Chowdhry,Interesse público,Livros de não-ficção; Harry Potter; parques temáticos,Auto-divulgado no perfil.,"Pode ser afinidade para edtech, leitura ou experiências; não substitui adequação ao investimento.",Secundário,Baixa,https://concept.vc/team-members/reece-chowdhry,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0024,INV034,PER0242,Concept Ventures,Oliver Kicks,Interesse público,Fulham; Apex Legends; Old School RuneScape,Interesses declarados no perfil.,"Em gaming ou comunidades, explorar uma observação concreta sobre comportamento dos utilizadores.",Bom se relevante,Baixa,https://concept.vc/team-members/oliver-kicks,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0025,INV034,PER0243,Concept Ventures,Jeff Chowdhry,Interesse público,Golfe e futebol,Interesses públicos no perfil.,Conversa informal contextual; não extrair preferências de investimento destes hobbies.,Secundário,Baixa,https://concept.vc/team-members/jeff-chowdhry,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0026,INV034,PER0244,Concept Ventures,Hugo Hazon,Percurso público,Antigo jogador profissional de voleibol,O perfil identifica passagem pelo Paris Volley.,"Se relevante, perguntar que aprendizagem da competição trouxe para construir equipas.",Bom se relevante,Baixa,https://concept.vc/team-members/hugo-hazon,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0027,INV034,PER0245,Concept Ventures,Anrea Munsamy,Causa pública,Resgate animal; sustentabilidade; projetos comunitários,Atividade descrita no perfil profissional.,"Pode ser contexto para propostas de comunidade ou causas do Venture Pledge, sem pressupor autoridade de investimento.",Bom se relevante,Baixa,https://concept.vc/team-members/anrea,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0028,INV034,PER0246,Concept Ventures,Kudei Sawyer Moses,Atividade pública,DJ; experiência na indústria musical,Percurso divulgado no perfil profissional.,"Em música ou creator tools, perguntar sobre um problema profissional específico; também pode apoiar proposta de evento.",Bom se relevante,Baixa,https://concept.vc/team-members/kudei-sawyer-moses,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
SIG0029,INV029,PER0223,H14,Luigi Lonardi,Causa pública,Voluntariado na Dravet Onlus Italia,Experiência de voluntariado publicada no LinkedIn.,Abordar a causa apenas se houver pertinência concreta; não inferir doença pessoal ou familiar nem propensão para investir.,Bom se relevante,Baixa,https://it.linkedin.com/in/luigi-lonardi-3609a9118,2026-09-09,Verificado,Lote 2. Auto-divulgação pública; não inferir outros atributos pessoais.
