ID_Hook,ID_Investidor,ID_Pessoa,Investidor,Pessoa,Tipo_Conteúdo,Título,Data_Publicação,Tema,Ponto_de_Vista,Hook_Sugerido,URL_Fonte,Estado_Verificação,Confiança,Adequação_Outreach,Sensibilidade,Nota_de_Uso
HOK0011,INV007,PER0043,Atomico,Niklas Zennström,Reflexão institucional,Europe's mission remains our mission,2026,European tech sovereignty,Defende empresas globais construídas na Europa e maior ambição tecnológica.,Ligar o projeto a uma vantagem europeia concreta e à possibilidade de liderança global.,https://20.atomico.com/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0012,INV008,PER0050,Balderton Capital,Daniel Waterhouse,Perfil,From Yahoo and 3i to European venture,,AI health; fusion; enterprise GTM,Combina experiência operacional e investimento em várias ondas tecnológicas.,Apresentar o momento de inflexão técnico e a estratégia de GTM em conjunto.,https://www.balderton.com/team/daniel-waterhouse/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0013,INV008,PER0051,Balderton Capital,Rob Moffat,Perfil,"Fintech, mobile consumer and vertical AI",,Fintech; vertical AI,"Foco atual declarado em fintech, mobile consumer e vertical AI.","Mostrar workflow vertical, dados proprietários e economia por cliente.",https://www.balderton.com/team/rob-moffat/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0014,INV009,PER0062,Cherry Ventures,Sophia Bendz,Perfil,Operator and angel perspective,,Consumer; brand; community,"Experiência em Spotify, Atomico, angel investing e AllBright.","Ligar crescimento do produto a comunidade, marca e comportamento orgânico.",https://cherry.vc/team/sophia-bendz,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0015,INV010,PER0068,Creandum,Staffan Helgesson,Perfil / entrevistas,"SaaS, climate and electrification",,SaaS; climate,"Fundador da Creandum; foco em SaaS, clima e eletrificação.",Apresentar a mudança de infraestrutura e por que a Europa tem vantagem nesta categoria.,https://creandum.com/team/staffan-helgesson/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0016,INV010,PER0069,Creandum,Carl Fritjofsson,Perfil / podcast,"AI infra, vertical AI and lessons from scaling Wrapp",,AI; company scaling,"Reflete sobre erros de escalar cedo, subsidiar produto e sobrestimar concorrência.",Mostrar disciplina de escala e a aprendizagem que evitou crescimento artificial.,https://creandum.com/team/carl-fritjofsson/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0017,INV010,PER0073,Creandum,Jakob Stein,Perfil,Physical AI and Europe's industrial edge,,Physical AI; compute,"Vê vantagem europeia em talento técnico, indústria e problemas físicos difíceis.",Ligar o produto a um processo industrial concreto e a dados do mundo físico.,https://creandum.com/team/jakob-stein/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0018,INV010,PER0077,Creandum,Richard Keuntje,Perfil,What if everything goes right?,,Enterprise AI,Usa a pergunta sobre o melhor cenário para decidir se vale assumir o risco.,Apresentar o cenário otimista quantificado e por que é plausível.,https://creandum.com/team/richard-keuntje/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0019,INV010,PER0079,Creandum,Maria Raga,Perfil,Scaling Depop to a $1.6bn acquisition,,Consumer; scaling culture,Traz experiência operacional de Groupon e de liderar a Depop até aquisição.,Pedir uma perspetiva sobre o ponto em que a cultura precisa de mudar para suportar escala.,https://creandum.com/team/maria-raga/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0020,INV011,PER0083,Northzone,Pär-Jörgen Pärson,Perfil,Fundamental shifts upend industries,,Energy; health; consumer; AI,Procura mudanças fundamentais capazes de derrubar estruturas existentes.,Começar pela mudança estrutural e mostrar o comportamento que já mudou.,https://northzone.com/team/par-jorgen-parson?f411be3b_page=1,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0021,INV011,PER0083,Northzone,Pär-Jörgen Pärson,Artigo,Hypothesis-led investing,,Investment process,"Defende explicitar hipóteses, pressupostos e o leap of faith.",Enviar uma hipótese de investimento curta com pressupostos que podem ser testados.,https://northzone.com/insights/hypothesis-led-investing-how-we-institutionalised-gut-driven-investing-and-our-learnings-from-spring-healths-investment-memo,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0022,INV011,PER0085,Northzone,Sanjot Malhi,Perfil,Global growth investor and former football player,,Growth; international scaling,Experiência global em late-stage e passado como jogador profissional.,Relacionar disciplina competitiva com a métrica que define a próxima fase de crescimento.,https://northzone.com/team/sanjot-malhi,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0023,INV012,PER0099,Project A,Philipp Werner,Perfil,Operator turned investor in supply chains and energy,,Supply chain; logistics; energy,"Passou por venture development, CMO e investimento na Project A.",Mostrar uma fricção operacional que a equipa conhece por experiência própria.,https://www.project-a.com/team/philipp-werner/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0024,INV012,PER0099,Project A,Philipp Werner,Artigo,From early conviction to category leader,,Agentic procurement,Relaciona agentes de IA com procurement e cadeias globais.,Enquadrar a solução como sistema de ação e não apenas dashboard.,https://insights.project-a.com/from-early-conviction-to-category-leader/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0025,INV012,PER0094,Project A,Florian Heinemann,Perfil,"Marketing, CRM and business intelligence",,GTM; analytics,Histórico como fundador e operador na Rocket Internet e JustBooks/AbeBooks.,Trazer unit economics e um plano de aquisição testável desde o primeiro contacto.,https://www.project-a.com/team/florian-heinemann,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0026,INV012,PER0093,Project A,Uwe Horstmann,Perfil,"Dealflow, investments and disaster logistics",,Investment; logistics,"Além de VC, trabalha em disaster logistics com organizações internacionais.","Se houver logística ou resiliência, ligar a missão a um caso operacional real.",https://www.project-a.com/team/uwe-horstmann/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0027,INV012,PER0098,Project A,Malin Posern,Perfil,Operator and investor across consumer and SaaS,,Consumer; SaaS; fintech,"Foi GP na Passion Capital, investidora na Index e operadora na Browns/Farfetch.",Mostrar uma decisão de produto ou distribuição que exige experiência simultânea de operação e capital.,https://www.project-a.com/team/malin-posern,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0028,INV013,PER0102,Dawn Capital,Josh Bell,Perfil / entrevista,Founders reveal themselves in existential moments,,Fintech; leadership,Valoriza a forma como fundadores reagem a momentos existenciais.,Partilhar uma decisão difícil já tomada e a aprendizagem objetiva.,https://www.dawncapital.com/team/josh-bell,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0029,INV013,PER0103,Dawn Capital,Norman Fiore,Perfil / artigos,Treat portfolio companies as customers,,Founder support; B2B software,A cultura da Dawn trata empresas do portfólio como clientes.,Ser específico sobre a decisão difícil em que procuras um parceiro de conselho.,https://www.dawncapital.com/team/norman-fiore,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0030,INV013,PER0103,Dawn Capital,Norman Fiore,Artigo,Burning your Equity,2020-11-18,Capital efficiency,"Propõe observar equity burn, não apenas cash burn.",Apresentar eficiência de capital e diluição esperada até ao próximo marco.,https://dawncapital.com/author/norman/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0031,INV013,PER0104,Dawn Capital,Evgenia Plotnikova,Perfil,Technology step change meets underestimated structural need,,AI; infrastructure,Procura a interseção entre salto tecnológico e necessidade estrutural subestimada.,Abrir com a necessidade estrutural e a prova de que o timing tecnológico mudou.,https://www.dawncapital.com/team/evgenia-plotnikova,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0032,INV013,PER0106,Dawn Capital,Shamillah Bankiya,Perfil,Stay close to hard problems,,AI; infrastructure; automation,Procura founders que permanecem próximos de problemas técnicos ou operacionais difíceis.,Descrever o workflow difícil que a equipa viveu e o insight exclusivo que daí resultou.,https://www.dawncapital.com/team/shamillah-bankiya,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0033,INV013,PER0107,Dawn Capital,Dan Chaplin,Perfil,Humble independent thinkers and narrative,,Automation; vertical software; fintech,"Valoriza pensamento independente, humildade e capacidade de construir uma narrativa.",Partilhar a tese contrarian numa frase e a evidência que te faria mudar de opinião.,https://www.dawncapital.com/team/dan-chaplin,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0034,INV014,PER0112,Octopus Ventures,Paul Davidson,Perfil,"SaaS across cybersecurity, AI, data and infrastructure",,B2B SaaS,"Combina experiência de investimento com suporte a vendas, produto e pessoas.",Apresentar o motor de crescimento SaaS e o gargalo operacional que o capital resolve.,https://octopusventures.com/team/b2b-software/paul-davidson/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0035,INV014,PER0113,Octopus Ventures,Will Gibbs,Perfil,Digital therapeutics and US health expansion,,Health; US expansion,"Interesse em digital therapeutics, novos modelos e expansão para os EUA.","Se healthtech, ligar evidência clínica, modelo de pagamento e plano de entrada nos EUA.",https://octopusventures.com/team/health/will-gibbs/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0036,INV014,PER0114,Octopus Ventures,Tosin Agbabiaka,Perfil / artigos,Fintech in a shifting global environment,,Fintech; policy,"Carreira combina política pública, energia, direito e investimento fintech.",Enquadrar a oportunidade regulatória como vantagem competitiva mensurável.,https://octopusventures.com/team/fintech/tosin-agbabiaka/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0037,INV014,PER0115,Octopus Ventures,Santiago Fernandez,Perfil,"Scaling AI, SaaS and fintech from Series B to pre-IPO",,Growth; fintech,"Apoia hiring, fundraising, M&A e parcerias comerciais na fase de crescimento.",Apresentar a métrica de escala e a decisão de organização necessária para a próxima fase.,https://octopusventures.com/team/fintech/santiago-fernandez/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0038,INV014,PER0116,Octopus Ventures,Theo Xydas,Perfil,Financial infrastructure and AI-enabled services,,Growth fintech; AI,"Experiência em growth equity, Mouro Capital e Target Global.",Ligar a infraestrutura financeira a um workflow que a IA torna finalmente automatizável.,https://octopusventures.com/team/fintech/theo-xydas/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0039,INV015,PER0120,Notion Capital,Jos White,Artigo / retreat,Platform supercycles and the AI age,2025,AI; market cycles,Compara a vaga de IA com superciclos anteriores e procura efeitos não óbvios.,Explicar qual efeito de segunda ordem da IA cria o teu mercado.,https://www.notion.vc/resources/new-frontiers-reflections-from-the-notion-capital-founder-retreat-2025,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0040,INV015,PER0122,Notion Capital,Itxaso del Palacio,Artigo,Why we invested in TERN,2025-09-10,AI workforce; healthcare,Vê potencial em plataformas AI-native que resolvem escassez estrutural de talento.,Ligar o produto a um problema estrutural de mão de obra e receita recorrente.,https://www.notion.vc/resources/why-we-invested-in-tern,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0041,INV015,PER0124,Notion Capital,Kamil Mieczakowski,Artigo,Why we invested in Upciti,2025-10-16,Physical AI; public infrastructure,"Tese em AI aplicada a cidades, sensores e dados fragmentados.",Mostrar como dados heterogéneos se tornam um sistema de ação com ROI claro.,https://www.notion.vc/resources/why-we-invested-in-upciti,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0042,INV015,PER0123,Notion Capital,Patrick Norris,Artigo,Quantum Systems and autonomous drones,2024-09-24,Defence; autonomous systems,"Procura product-market fit, procura do comprador e equipas com conhecimento do procurement.","Se dual-use, mostrar acesso ao comprador, procurement e integração hardware-software.",https://www.notion.vc/resources/why-notion-capital-invested-in-quantum-systems,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0043,INV016,PER0126,Nauta Capital,Carles Ferrer,Perfil,"Security, SaaS and critical data-driven companies",,B2B software,"Interesses incluem security, SaaS, analytics e empresas críticas baseadas em dados.",Ligar o produto a um sistema crítico e explicar custo de substituição e qualidade dos dados.,https://www.nautacapital.com/team,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0044,INV016,PER0128,Nauta Capital,Borja Breña,Perfil,Spain and Portugal opportunities,,Iberia; software,"Experiência na Telefónica CVC, Kennet, Barclays e Deloitte.",Mostrar por que a base ibérica permite uma expansão europeia rápida.,https://www.nautacapital.com/team,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0045,INV016,PER0129,Nauta Capital,Conor Scanlan,Perfil,Seed+ and Series A B2B software,,B2B software,Passou por Octopus Ventures e Frog Capital antes da Nauta.,Ligar o pedido ao marco entre seed e Series A e ao modelo SaaS.,https://www.nautacapital.com/team,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0046,INV016,PER0131,Nauta Capital,Theo Wethered,Perfil,"AI, data, fintech and supply chain",,AI; data; fintech,"Experiência em startups, Molten Ventures, L.E.K. e criação de microbusiness.",Mostrar um caso em que dados ou IA mudam a economia de uma cadeia operacional.,https://www.nautacapital.com/team,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0047,INV016,PER0133,Nauta Capital,Stella Buhalis,Perfil,Relentless problem solvers,,Fintech; future of work; healthcare,Procura founders que resolvem problemas persistentemente e constroem equipas fortes.,Partilhar a iteração mais difícil e a evidência de que a equipa aprende mais depressa.,https://www.nautacapital.com/team,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0048,INV017,PER0135,K Fund,Iñaki Arrola,Perfil,Founder of coches.com and early angel,,Marketplaces; founder empathy,Construiu coches.com durante 16 anos e foi business angel antes da K Fund.,Relacionar a conversa com uma decisão de longo prazo na construção de marketplace.,https://www.kfund.vc/team,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0049,INV017,PER0136,K Fund,Carina Szpilka,Perfil / podcast,Customer-centric fintech and evolution of K,,Fintech; customer experience,Liderou ING Direct em França e Espanha e discute a evolução do fundo.,Começar por uma mudança concreta na experiência financeira do cliente.,https://www.kfund.vc/team,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0050,INV017,PER0137,K Fund,Pablo Ventura,Perfil,Dual-use and AI software for SMEs,,Dual-use; SME software,"Ex-JME, com investimentos em Jobandtalent e Flywire.","Se aplicável, ligar IA a um problema operacional de PME e a uma rota de distribuição.",https://www.kfund.vc/team,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0051,INV017,PER0139,K Fund,Jaime Novoa,Artigo / podcast,Evolution from Spanish seed to Southern Europe and LatAm,2024-02-27,Fund strategy; ecosystem,Explica a expansão de pre-seed/seed para Series A e novas geografias.,Mostrar por que a empresa pode usar Iberia como ponte para outro mercado.,https://www.kfund.vc/post/podkast-173-la-evolucion-de-k-de-pre-seed-seed-en-espana-a-series-a-en-sur-de-europa-y-latam,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0052,INV017,PER0137,K Fund,Pablo Ventura,Artigo,Kfund Tech Due Diligence guidebook,2025-04-21,Technical due diligence,A K Fund adapta due diligence técnica ao estágio e avalia visão e capacidade do CTO.,"Antecipar arquitetura, riscos e plano de equipa técnica de acordo com o estágio.",https://www.kfund.vc/post/kfund-tech-due-diligence,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0053,INV018,PER0145,Samaipata,Luis Garay,Q&A / tese,The Founders Q&A,2024-10-24,Network effects; fund fit,"Publica ticket, geografias e critérios de mercado, unit economics e cap table.",Responder proativamente aos quatro critérios com números numa página.,https://www.samaipata.vc/post/the-founders-q-a,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0054,INV018,PER0143,Samaipata,José del Barrio,Perfil,Founder of La Nevera Roja,,Marketplaces; founder experience,Construiu e vendeu uma plataforma de delivery antes de criar a Samaipata.,Ligar o efeito de rede a um comportamento observado no marketplace.,https://www.samaipata.vc/samaipata-team,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0055,INV019,PER0154,Portugal Ventures,Miguel Barbosa,Perfil,"Tourism, hardware, IoT and industrial experience",,Tourism; hardware; IoT,"Mais de 20 anos em VC, consultoria e telecomunicações.","Mostrar claramente elegibilidade, hardware economics e expansão internacional.",https://www.portugalventures.pt/en/member/miguel-barbosa/,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0056,INV020,PER0156,Indico Capital Partners,Stephan de Moraes,Perfil,From Caixa Capital to an independent Portuguese VC,,Portugal-to-global,Combina experiência de CEO e investimento em histórias tecnológicas portuguesas.,Ligar talento português a uma categoria global e a um plano de financiamento disciplinado.,https://www.indicocapital.com/about-us,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0057,INV020,PER0158,Indico Capital Partners,Cristina Fonseca,Perfil / entrevista,Founder of Talkdesk turned investor,,Enterprise SaaS; AI,Experiência direta de construir uma empresa SaaS global a partir de Portugal.,Abrir com uma decisão de founder que só outro founder reconhecerá e uma métrica SaaS.,https://www.indicocapital.com/about-us,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0058,INV022,PER0177,Armilar Venture Partners,Pedro Ribeiro Santos,Artigo,Armilar IV and the overlap of digital tech and hard science,2025-11-05,Deeptech; Series A,Defende a passagem de validação para escala em B2B deeptech.,"Mostrar prova técnica, mercado global e o marco que transforma validação em escala.",https://www.armilar.com/articles/armilar-announces-first-closing-of-fund-iv-with-eu120m-to-invest-in-disruptive-technologies-across-iberia-and-europe,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0059,INV022,PER0178,Armilar Venture Partners,Duarte Mineiro,Artigo,Armilar IV: Iberia and Europe,2025-11-05,Iberia; deeptech,"Sublinha talento, I&D e redução de capacidade de capital como oportunidade.",Ligar I&D ibérica a uma vantagem comercial europeia concreta.,https://www.armilar.com/articles/armilar-announces-first-closing-of-fund-iv-with-eu120m-to-invest-in-disruptive-technologies-across-iberia-and-europe,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0060,INV025,PER0198,Connect Ventures,Pietro Bezza,Artigo,Investment decisions at Connect,,Investment process,"A decisão é unânime entre três partners, após memo e reunião longa com founders.",Enviar um memo curto com factos e tese subjetiva claramente separados.,https://www.connectventures.co/opinions/investment-decisions-at-connect,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0061,INV025,PER0199,Connect Ventures,Sitar Teli,Artigo / tese,The Connect Ventures Thesis,,Product-led companies,"Avalia market size, equipa, GTM, modelo e product love com alta convicção.",Mostrar evidência de amor pelo produto e por que o mercado pode ser muito maior.,https://www.connectventures.co/opinions/the-connect-ventures-thesis-part-2,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0062,INV025,PER0200,Connect Ventures,Rory Stirling,Artigo,Investing in Nexcade,2025-10-08,AI for logistics,Valoriza insiders com perspetiva de outsider e automação de trabalho não estruturado.,Explicar o workflow caótico que a equipa viveu e a automação que agora é possível.,https://www.connectventures.co/opinions/investing-in-nexcade,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0063,INV025,PER0198,Connect Ventures,Pietro Bezza,Artigo,Investing in Ewake,2025-10-07,AI reliability,Procura founders com dor vivida e agentes que atuam no fluxo real de trabalho.,Começar pela dor operacional pessoal e demonstrar resolução no ambiente do cliente.,https://www.connectventures.co/opinions/investing-in-ewake-engineers-best-friend-for-software-reliability,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0064,INV027,PER0209,Partech,Romain Lavault,Perfil,Rocket scientist and founder leading Seed,,AI; deeptech; enterprise,Criou a atividade Seed e investe em frontier tech e software.,Ser tecnicamente específico e explicar por que o problema precisa de uma nova categoria.,https://partechpartners.com/team/romain-lavault,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0065,INV027,PER0210,Partech,Boris Golden,Perfil,Novel and hybrid models without playbooks,,Seed; hybrid models,Procura modelos novos onde não há playbook e atua como advisor hands-on.,Mostrar por que os modelos comparáveis falham e qual learning loop substitui o playbook.,https://partechpartners.com/team/boris-golden,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0066,INV027,PER0211,Partech,Réza Malekzadeh,Perfil,Operator in VMware and two startup exits,,Enterprise software,"Experiência em vendas, marketing e operações, incluindo VMware e duas startups.",Ligar a inovação ao plano comercial enterprise e à expansão internacional.,https://partechpartners.com/team/reza-malekzadeh,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0067,INV027,PER0212,Partech,Alison Imbert,Promoção / perfil,Backing founders pre-product and pre-revenue,2025-07-07,Seed; data; fintech,Reconhecida por identificar founders muito cedo e por investimentos seed.,"Apresentar insight de founder, aprendizagem pré-produto e prova mínima de procura.",https://partechpartners.com/news/partech-announces-promotions-across-investment-teams,Verificado,Alta,Alta,Baixa,Referir a ideia ou conteúdo de forma concreta; não simular intimidade.
HOK0068,INV028,PER0216,Korys,Dries Crevits,Entrevista institucional,Korys’ sustainability journey: from the initial spark to future realities.,,Sustentabilidade; capital paciente,"Explica a preferência por investimento com propósito, horizonte longo e impacto observável.",Explicar que mudança mensurável o projeto produz em cinco anos e perguntar qual prova inicial justificaria capital paciente.,https://korys.be/korys-sustainability-journey-from-the-initial-spark-to-future-realities/,Verificado,Alta,Avaliar contexto,Baixa,"Declaração pessoal.  Sugestão de abordagem redigida por nós, não citação. Fonte consultada em 2026-09-09. Lote 2."
