ID_Pessoa,ID_Investidor,Investidor,Nome,Cargo_Atual,Decisor,Nível_Decisão,Localização,Foco_Setorial,Foco_Fase,Experiência_Anterior,Empresas_Portfólio,Email_Público,LinkedIn,Perfil_Oficial,Hook_Principal,Fundamento_do_Hook,Fonte_Principal,Data_Verificação,Confiança,Estado_Perfil,Notas
PER0011,INV003,JME Ventures,Iván Landabaso,Partner,Sim,Decisor,Madrid,Software; tecnologia,Seed; Series A,Investimento,,,,https://www.jme.vc/,Mostrar por que o produto pode tornar-se referência no mercado espanhol e europeu.,Parceiro na equipa de investimento.,https://www.jme.vc/,2026-09-09,Média,Base,
PER0012,INV004,Picus Capital,Alexander Samwer,Founding Partner,Sim,Decisor,Munique,Tech generalist; long-term capital,Pre-seed; Seed; Series A,,,,,https://www.picuscap.com/team/,Apresentar a visão de 10 anos e o motivo para esta equipa ser capaz de dominar a categoria.,Picus sublinha parceria de longo prazo desde o início.,https://www.picuscap.com/team/,2026-09-09,Média,Parcial,
PER0013,INV004,Picus Capital,Jeremias Heinrich,Founding Partner,Sim,Decisor,Munique,Climate; enterprise; fintech,Pre-seed; Seed; Series A,,,,,https://www.picuscap.com/team/,Apresentar a visão de 10 anos e o motivo para esta equipa ser capaz de dominar a categoria.,Picus sublinha parceria de longo prazo desde o início.,https://www.picuscap.com/team/,2026-09-09,Média,Parcial,
PER0014,INV004,Picus Capital,Robin Godenrath,Founding Partner & Managing Director,Sim,Decisor,Munique,Early-stage tech,Pre-seed; Seed; Series A,,,,,https://www.picuscap.com/team/,Apresentar a visão de 10 anos e o motivo para esta equipa ser capaz de dominar a categoria.,Picus sublinha parceria de longo prazo desde o início.,https://www.picuscap.com/team/,2026-09-09,Média,Parcial,
PER0015,INV004,Picus Capital,Oliver Heinrich,Partner,Sim,Decisor,Munique,Enterprise; fintech,Pre-seed; Seed; Series A,,,,,https://www.picuscap.com/team/,Apresentar a visão de 10 anos e o motivo para esta equipa ser capaz de dominar a categoria.,Picus sublinha parceria de longo prazo desde o início.,https://www.picuscap.com/team/,2026-09-09,Média,Parcial,
PER0016,INV004,Picus Capital,Raphael Mukomilow,Partner,Sim,Decisor,Londres,Health; biotech; software,Pre-seed; Seed; Series A,,,,,https://www.picuscap.com/team/,Apresentar a visão de 10 anos e o motivo para esta equipa ser capaz de dominar a categoria.,Picus sublinha parceria de longo prazo desde o início.,https://www.picuscap.com/team/,2026-09-09,Média,Parcial,
PER0017,INV004,Picus Capital,Sebastian Schäfer,Partner,Sim,Decisor,Berlim,AI; enterprise,Pre-seed; Seed; Series A,,,,,https://www.picuscap.com/team/,Apresentar a visão de 10 anos e o motivo para esta equipa ser capaz de dominar a categoria.,Picus sublinha parceria de longo prazo desde o início.,https://www.picuscap.com/team/,2026-09-09,Média,Parcial,
PER0018,INV004,Picus Capital,Cosima Paul,Investor,Rever,Equipa de investimento,,Early-stage tech,Pre-seed; Seed; Series A,,,,,https://www.picuscap.com/team/,Apresentar a visão de 10 anos e o motivo para esta equipa ser capaz de dominar a categoria.,Picus sublinha parceria de longo prazo desde o início.,https://www.picuscap.com/team/,2026-09-09,Média,Base,
PER0019,INV005,Speedinvest,Oliver Holle,CEO & Managing Partner,Sim,Decisor,Viena,Multi-sector,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Base,
PER0020,INV005,Speedinvest,Markus Lang,General Partner,Sim,Decisor,Viena,AI & Infra; SaaS,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Enriquecido,
PER0021,INV005,Speedinvest,Andreas Schwarzenbrunner,General Partner,Sim,Decisor,Viena,Climate & Industrial Tech,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Base,
PER0022,INV005,Speedinvest,Marie-Hélène Ametsreiter,General Partner,Sim,Decisor,Munique,Climate & Industrial Tech,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Enriquecido,
PER0023,INV005,Speedinvest,Stefan Klestil,General Partner,Sim,Decisor,Viena,Fintech,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Base,
PER0024,INV005,Speedinvest,Andrea Zitna,Partner,Sim,Decisor,Londres,Health & Bio,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Base,
PER0025,INV005,Speedinvest,Deepali Nangia,Partner,Sim,Decisor,Londres,Marketplaces; consumer,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Base,
PER0026,INV005,Speedinvest,Florian Obst,Partner,Sim,Decisor,Munique,AI & Infra; SaaS,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Enriquecido,
PER0027,INV005,Speedinvest,Frederik Hagenauer,Partner,Sim,Decisor,Berlim,AI & Infra; SaaS,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Enriquecido,
PER0028,INV005,Speedinvest,Jeroen Arts,Partner,Sim,Decisor,Viena,Fintech,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Base,
PER0029,INV005,Speedinvest,Rana Abdel Latif,Partner,Sim,Decisor,,Middle East & Africa,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Base,
PER0030,INV005,Speedinvest,Will Wells,Partner,Sim,Decisor,Londres,Health & Bio,Inception; Seed; Growth,,,,,https://www.speedinvest.com/team,Relacionar a empresa diretamente com a tese da equipa especialista e o estágio pretendido.,A firma organiza investidores por verticais e fase.,https://www.speedinvest.com/team,2026-09-09,Alta,Base,
PER0031,INV006,Index Ventures,Danny Rimer,Partner,Sim,Decisor,Londres / São Francisco,Consumer; software,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0032,INV006,Index Ventures,Jan Hammer,Partner,Sim,Decisor,Londres,Fintech; software,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0033,INV006,Index Ventures,Martin Mignot,Partner,Sim,Decisor,Londres,Fintech; consumer; marketplaces,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0034,INV006,Index Ventures,Shardul Shah,Partner,Sim,Decisor,Nova Iorque,Cybersecurity; AI; enterprise; infrastructure,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Enriquecido,
PER0035,INV006,Index Ventures,Hannah Seal,Partner,Sim,Decisor,Londres,Enterprise; fintech,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0036,INV006,Index Ventures,Stephane Kurgan,Partner,Sim,Decisor,Londres,Gaming; consumer,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0037,INV006,Index Ventures,Carlos Gonzalez-Cadenas,Partner,Sim,Decisor,Londres,AI; enterprise,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0038,INV006,Index Ventures,Sofia Dolfe,Partner,Sim,Decisor,Londres,AI; enterprise,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0039,INV006,Index Ventures,Nina Achadjian,Partner,Sim,Decisor,São Francisco,Enterprise; AI; vertical software,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0040,INV006,Index Ventures,Jahanvi Sardana,Partner,Sim,Decisor,Nova Iorque,Fintech; infrastructure,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0041,INV006,Index Ventures,Simon Cunningham,Investor,Rever,Equipa de investimento,Londres,Technology,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0042,INV006,Index Ventures,Julia Andre,Investor,Rever,Equipa de investimento,Londres,AI; European tech,Seed; Venture; Growth,,,,,https://www.indexventures.com/team/,Mapear o problema ao domínio do partner e provar por que a empresa pode definir uma categoria.,Index organiza-se por domínio e acompanha empresas em vários estágios.,https://www.indexventures.com/team/,2026-09-09,Média,Base,
PER0043,INV007,Atomico,Niklas Zennström,CEO & Founding Partner,Sim,Decisor,Londres,European tech; deeptech; scale,Inception to IPO,,,,,https://20.atomico.com/,Ligar a abordagem à construção de uma empresa tecnológica global a partir da Europa.,Missão pública da Atomico e função na equipa.,https://20.atomico.com/,2026-09-09,Média,Enriquecido,
PER0044,INV007,Atomico,Ben Blume,Investment Partner,Sim,Decisor,Londres,AI; enterprise automation; physical industries,Inception to IPO,,,,,https://20.atomico.com/,Ligar a abordagem à construção de uma empresa tecnológica global a partir da Europa.,Missão pública da Atomico e função na equipa.,https://20.atomico.com/,2026-09-09,Média,Enriquecido,
PER0045,INV007,Atomico,Laura Connell,Partner,Sim,Decisor,Londres,Consumer; health; climate,Inception to IPO,,,,,https://20.atomico.com/,Ligar a abordagem à construção de uma empresa tecnológica global a partir da Europa.,Missão pública da Atomico e função na equipa.,https://20.atomico.com/,2026-09-09,Média,Base,
PER0046,INV007,Atomico,Sasha Vidiborskiy,Partner,Sim,Decisor,Londres,Enterprise; fintech,Inception to IPO,,,,,https://20.atomico.com/,Ligar a abordagem à construção de uma empresa tecnológica global a partir da Europa.,Missão pública da Atomico e função na equipa.,https://20.atomico.com/,2026-09-09,Média,Base,
PER0047,INV007,Atomico,Hillary Ball,Partner,Sim,Decisor,Londres,Venture to growth,Inception to IPO,,,,,https://20.atomico.com/,Ligar a abordagem à construção de uma empresa tecnológica global a partir da Europa.,Missão pública da Atomico e função na equipa.,https://20.atomico.com/,2026-09-09,Média,Base,
PER0048,INV007,Atomico,Joen Bonnier,Partner,Sim,Decisor,Estocolmo,Nordics; consumer; enterprise,Inception to IPO,,,,,https://20.atomico.com/,Ligar a abordagem à construção de uma empresa tecnológica global a partir da Europa.,Missão pública da Atomico e função na equipa.,https://20.atomico.com/,2026-09-09,Média,Base,
PER0049,INV008,Balderton Capital,Bernard Liautaud,Managing Partner,Sim,Decisor,Londres,Enterprise software; growth,Seed to IPO,,,,,https://www.balderton.com/team/,Mostrar por que a empresa pode ser uma campeã tecnológica europeia e qual experiência do partner é relevante.,Tese europeia e perfis públicos da equipa.,https://www.balderton.com/team/,2026-09-09,Alta,Base,
PER0050,INV008,Balderton Capital,Daniel Waterhouse,Partner,Sim,Decisor,Londres,Fusion; AI health; enterprise GTM; consumer,Seed to IPO,,,,,https://www.balderton.com/team/,Mostrar por que a empresa pode ser uma campeã tecnológica europeia e qual experiência do partner é relevante.,Tese europeia e perfis públicos da equipa.,https://www.balderton.com/team/,2026-09-09,Alta,Enriquecido,
PER0051,INV008,Balderton Capital,Rob Moffat,Partner,Sim,Decisor,Londres,Fintech; mobile consumer; vertical AI,Seed to IPO,,,,,https://www.balderton.com/team/,Mostrar por que a empresa pode ser uma campeã tecnológica europeia e qual experiência do partner é relevante.,Tese europeia e perfis públicos da equipa.,https://www.balderton.com/team/,2026-09-09,Alta,Enriquecido,
PER0052,INV008,Balderton Capital,James Wise,Partner,Sim,Decisor,Londres,Health; climate; enterprise,Seed to IPO,,,,,https://www.balderton.com/team/,Mostrar por que a empresa pode ser uma campeã tecnológica europeia e qual experiência do partner é relevante.,Tese europeia e perfis públicos da equipa.,https://www.balderton.com/team/,2026-09-09,Alta,Base,
PER0053,INV008,Balderton Capital,Rana Yared,Partner,Sim,Decisor,Londres,Fintech; growth,Seed to IPO,,,,,https://www.balderton.com/team/,Mostrar por que a empresa pode ser uma campeã tecnológica europeia e qual experiência do partner é relevante.,Tese europeia e perfis públicos da equipa.,https://www.balderton.com/team/,2026-09-09,Alta,Base,
PER0054,INV008,Balderton Capital,Greta Anderson,Managing Director,Sim,Decisor,Londres,Early stage,Seed to IPO,,,,,https://www.balderton.com/team/,Mostrar por que a empresa pode ser uma campeã tecnológica europeia e qual experiência do partner é relevante.,Tese europeia e perfis públicos da equipa.,https://www.balderton.com/team/,2026-09-09,Alta,Base,
PER0055,INV008,Balderton Capital,Elena Moneta,Managing Director,Sim,Decisor,Londres,Growth; health; SaaS; fintech,Seed to IPO,,,,,https://www.balderton.com/team/,Mostrar por que a empresa pode ser uma campeã tecnológica europeia e qual experiência do partner é relevante.,Tese europeia e perfis públicos da equipa.,https://www.balderton.com/team/,2026-09-09,Alta,Base,
PER0056,INV008,Balderton Capital,Claudia Rowe,Managing Director,Sim,Decisor,Londres,Growth,Seed to IPO,,,,,https://www.balderton.com/team/,Mostrar por que a empresa pode ser uma campeã tecnológica europeia e qual experiência do partner é relevante.,Tese europeia e perfis públicos da equipa.,https://www.balderton.com/team/,2026-09-09,Alta,Base,
PER0057,INV008,Balderton Capital,Shikha Ahluwalia,Principal,Rever,Equipa de investimento,Berlim,DACH; early stage,Seed to IPO,,,,,https://www.balderton.com/team/,Mostrar por que a empresa pode ser uma campeã tecnológica europeia e qual experiência do partner é relevante.,Tese europeia e perfis públicos da equipa.,https://www.balderton.com/team/,2026-09-09,Alta,Base,
PER0058,INV008,Balderton Capital,Sivesh Sukumar,Principal,Rever,Equipa de investimento,Londres,Technology,Seed to IPO,,,,,https://www.balderton.com/team/,Mostrar por que a empresa pode ser uma campeã tecnológica europeia e qual experiência do partner é relevante.,Tese europeia e perfis públicos da equipa.,https://www.balderton.com/team/,2026-09-09,Alta,Base,
PER0059,INV009,Cherry Ventures,Filip Dames,Founding Partner,Sim,Decisor,Berlim,Consumer; marketplaces; software,Pre-seed to Series A,,,,,https://cherry.vc/team,Usar uma anomalia concreta do mercado e o fio condutor que torna a oportunidade plausível.,Cherry publica estes três critérios como núcleo da avaliação.,https://cherry.vc/about,2026-09-09,Alta,Base,
PER0060,INV009,Cherry Ventures,Christian Meermann,Founding Partner,Sim,Decisor,Berlim,Consumer; SaaS,Pre-seed to Series A,,,,,https://cherry.vc/team,Usar uma anomalia concreta do mercado e o fio condutor que torna a oportunidade plausível.,Cherry publica estes três critérios como núcleo da avaliação.,https://cherry.vc/about,2026-09-09,Alta,Base,
PER0061,INV009,Cherry Ventures,Dinika Mahtani,Partner,Sim,Decisor,Londres,B2B; fintech; marketplaces,Pre-seed to Series A,,,,,https://cherry.vc/team,Usar uma anomalia concreta do mercado e o fio condutor que torna a oportunidade plausível.,Cherry publica estes três critérios como núcleo da avaliação.,https://cherry.vc/about,2026-09-09,Alta,Base,
PER0062,INV009,Cherry Ventures,Sophia Bendz,Partner,Sim,Decisor,Estocolmo,Consumer; brand; marketplaces,Pre-seed to Series A,,,,,https://cherry.vc/team,Usar uma anomalia concreta do mercado e o fio condutor que torna a oportunidade plausível.,Cherry publica estes três critérios como núcleo da avaliação.,https://cherry.vc/about,2026-09-09,Alta,Enriquecido,
PER0063,INV009,Cherry Ventures,Victor Huerbe,Principal,Rever,Equipa de investimento,Berlim,Technology,Pre-seed to Series A,,,,,https://cherry.vc/team,Usar uma anomalia concreta do mercado e o fio condutor que torna a oportunidade plausível.,Cherry publica estes três critérios como núcleo da avaliação.,https://cherry.vc/about,2026-09-09,Alta,Base,
PER0064,INV009,Cherry Ventures,Nadja Reischel,Principal,Rever,Equipa de investimento,Londres,Technology,Pre-seed to Series A,,,,,https://cherry.vc/team,Usar uma anomalia concreta do mercado e o fio condutor que torna a oportunidade plausível.,Cherry publica estes três critérios como núcleo da avaliação.,https://cherry.vc/about,2026-09-09,Alta,Base,
PER0065,INV009,Cherry Ventures,Lily Petherick,Investor,Rever,Equipa de investimento,Londres,Technology,Pre-seed to Series A,,,,,https://cherry.vc/team,Usar uma anomalia concreta do mercado e o fio condutor que torna a oportunidade plausível.,Cherry publica estes três critérios como núcleo da avaliação.,https://cherry.vc/about,2026-09-09,Alta,Base,
PER0066,INV009,Cherry Ventures,Julius de Gruyter,Investor,Rever,Equipa de investimento,Berlim,Technology,Pre-seed to Series A,,,,,https://cherry.vc/team,Usar uma anomalia concreta do mercado e o fio condutor que torna a oportunidade plausível.,Cherry publica estes três critérios como núcleo da avaliação.,https://cherry.vc/about,2026-09-09,Alta,Base,
PER0067,INV009,Cherry Ventures,Patrick Doran,Investor,Rever,Equipa de investimento,Londres,Technology,Pre-seed to Series A,,,,,https://cherry.vc/team,Usar uma anomalia concreta do mercado e o fio condutor que torna a oportunidade plausível.,Cherry publica estes três critérios como núcleo da avaliação.,https://cherry.vc/about,2026-09-09,Alta,Base,
PER0068,INV010,Creandum,Staffan Helgesson,Partner,Sim,Decisor,Estocolmo,SaaS; climate; electrification,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Enriquecido,
PER0069,INV010,Creandum,Carl Fritjofsson,Partner,Sim,Decisor,São Francisco,AI infra; vertical AI; consumer,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Enriquecido,
PER0070,INV010,Creandum,Fredrik Cassel,Partner,Sim,Decisor,Estocolmo,Software; fintech,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Base,
PER0071,INV010,Creandum,Simon Schmincke,Partner,Sim,Decisor,Berlim,AI; enterprise,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Base,
PER0072,INV010,Creandum,Peter Specht,Partner,Sim,Decisor,Londres,SaaS; fintech,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Base,
PER0073,INV010,Creandum,Jakob Stein,Partner,Sim,Decisor,Berlim,Enterprise AI; compute; physical AI,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Enriquecido,
PER0074,INV010,Creandum,Clara Leise,Investment Team,Rever,Equipa de investimento,Berlim,Climate; deeptech,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Base,
PER0075,INV010,Creandum,Cam Sellers,Investment Team,Rever,Equipa de investimento,Londres,Technology,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Base,
PER0076,INV010,Creandum,Hanel Baveja,Investment Team,Rever,Equipa de investimento,Londres,Technology,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Base,
PER0077,INV010,Creandum,Richard Keuntje,Vice President,Rever,Influenciador,Londres,Enterprise software; AI,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Enriquecido,
PER0078,INV010,Creandum,Sarah Otter,Investment Team,Rever,Equipa de investimento,Londres,Technology,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Base,
PER0079,INV010,Creandum,Maria Raga,Venture Partner,Rever,Influenciador,Londres,Consumer; brand; company building,Early stage,,,,,https://creandum.com/team/,Referir a tese setorial pessoal e demonstrar aprendizagem rápida no problema.,Perfis públicos detalham interesses e experiências individuais.,https://creandum.com/team/,2026-09-09,Alta,Enriquecido,
PER0080,INV011,Northzone,Jeppe Zink,Partner,Sim,Decisor,Londres,Enterprise; fintech,Early stage; Growth,,,,,https://northzone.com/team,Apresentar uma hipótese explícita sobre a mudança estrutural que cria a oportunidade.,Northzone descreve abordagem hypothesis-led em conteúdos e perfis.,https://northzone.com/team,2026-09-09,Alta,Base,
